symbol,type,entry_time,exit_time,entry_price,exit_price,gross_pnl,fees,net_pnl,result,bars_held,position_size,leverage,strategy,confidence,btc_trend,coin_trend,btc_change,coin_change,funding_sentiment,rsi
SWARMSUSDT,LONG,2025-12-15 13:45:00+00:00,2025-12-15 13:48:00+00:00,0.0157,0.016014,20.000000000000114,1.2,18.800000000000114,WIN,1,100.0,10,BASIC,60,SIDEWAYS,UPTREND,-0.38,1.55,NEUTRAL,46.26865671641786
LIGHTUSDT,LONG,2025-12-15 06:03:00+00:00,2025-12-15 06:36:00+00:00,1.1264,1.1151360000000001,-9.999999999999947,1.2,-11.199999999999946,LOSS,11,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,0.9,SHORT_HEAVY,53.52112676056343
LIGHTUSDT,LONG,2025-12-15 06:33:00+00:00,2025-12-15 09:18:00+00:00,1.1175,1.13985,20.000000000000085,1.2,18.800000000000086,WIN,55,100.0,10,ADVANCED,90,SIDEWAYS,UPTREND,-0.39,0.52,SHORT_HEAVY,43.9359267734552
LIGHTUSDT,LONG,2025-12-15 07:12:00+00:00,2025-12-15 07:54:00+00:00,1.1233,1.112067,-10.000000000000044,1.2,-11.200000000000044,LOSS,14,100.0,10,ADVANCED,90,SIDEWAYS,UPTREND,-0.39,1.03,SHORT_HEAVY,48.19897084048027
LIGHTUSDT,LONG,2025-12-15 09:03:00+00:00,2025-12-15 09:18:00+00:00,1.1231,1.145562,19.999999999999982,1.2,18.799999999999983,WIN,5,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,0.56,SHORT_HEAVY,66.58536585365854
LIGHTUSDT,LONG,2025-12-15 09:27:00+00:00,2025-12-15 09:42:00+00:00,1.1278,1.150356,20.00000000000002,1.2,18.800000000000022,WIN,5,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,0.71,SHORT_HEAVY,60.699865410497786
LIGHTUSDT,LONG,2025-12-15 09:33:00+00:00,2025-12-15 09:36:00+00:00,1.1479,1.136421,-10.000000000000016,1.2,-11.200000000000015,LOSS,1,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,3.05,SHORT_HEAVY,68.57142857142844
LIGHTUSDT,LONG,2025-12-15 09:39:00+00:00,2025-12-15 09:51:00+00:00,1.1422,1.1650440000000002,20.00000000000007,1.2,18.80000000000007,WIN,4,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,2.1,SHORT_HEAVY,61.75663311985367
LIGHTUSDT,LONG,2025-12-15 09:42:00+00:00,2025-12-15 10:00:00+00:00,1.1464,1.1693280000000001,20.00000000000005,1.2,18.80000000000005,WIN,6,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,2.95,SHORT_HEAVY,63.13932980599652
LIGHTUSDT,LONG,2025-12-15 09:45:00+00:00,2025-12-15 10:06:00+00:00,1.1557,1.178814,20.00000000000007,1.2,18.80000000000007,WIN,7,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,3.86,SHORT_HEAVY,64.02753872633394
LIGHTUSDT,LONG,2025-12-15 09:48:00+00:00,2025-12-15 10:06:00+00:00,1.1594,1.182588,19.999999999999993,1.2,18.799999999999994,WIN,6,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,4.5,SHORT_HEAVY,66.35514018691592
LIGHTUSDT,LONG,2025-12-15 09:51:00+00:00,2025-12-15 10:15:00+00:00,1.1631,1.1863620000000001,20.0000000000001,1.2,18.8000000000001,WIN,8,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,4.78,SHORT_HEAVY,69.14623837700772
LIGHTUSDT,LONG,2025-12-15 09:54:00+00:00,2025-12-15 10:18:00+00:00,1.1677,1.191054,20.000000000000085,1.2,18.800000000000086,WIN,8,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,5.1,SHORT_HEAVY,69.85962014863757
LIGHTUSDT,LONG,2025-12-15 09:57:00+00:00,2025-12-15 10:15:00+00:00,1.1652,1.188504,19.999999999999993,1.2,18.799999999999994,WIN,6,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,4.53,SHORT_HEAVY,68.13725490196087
LIGHTUSDT,LONG,2025-12-15 10:00:00+00:00,2025-12-15 10:21:00+00:00,1.1696,1.192992,20.00000000000007,1.2,18.80000000000007,WIN,7,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,4.47,SHORT_HEAVY,61.65191740412988
LIGHTUSDT,LONG,2025-12-15 10:30:00+00:00,2025-12-15 10:39:00+00:00,1.1789,1.167111,-10.000000000000043,1.2,-11.200000000000042,LOSS,3,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,4.97,SHORT_HEAVY,62.61319534282024
LIGHTUSDT,LONG,2025-12-15 10:33:00+00:00,2025-12-15 10:39:00+00:00,1.1824,1.1705759999999998,-10.00000000000005,1.2,-11.200000000000049,LOSS,2,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,5.49,SHORT_HEAVY,62.5162127107652
LIGHTUSDT,LONG,2025-12-15 10:36:00+00:00,2025-12-15 10:39:00+00:00,1.1837,1.1718629999999999,-10.000000000000082,1.2,-11.200000000000081,LOSS,1,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,5.9,SHORT_HEAVY,60.84010840108404
LIGHTUSDT,LONG,2025-12-15 10:39:00+00:00,2025-12-15 10:48:00+00:00,1.1495,1.17249,20.000000000000057,1.2,18.800000000000058,WIN,3,100.0,10,ADVANCED,90,SIDEWAYS,UPTREND,-0.39,2.67,SHORT_HEAVY,42.55924170616111
LIGHTUSDT,LONG,2025-12-15 11:57:00+00:00,2025-12-15 12:09:00+00:00,1.1887,1.176813,-9.999999999999984,1.2,-11.199999999999983,LOSS,4,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,0.83,SHORT_HEAVY,66.66666666666666
LIGHTUSDT,LONG,2025-12-15 12:06:00+00:00,2025-12-15 12:21:00+00:00,1.1831,1.1712690000000001,-9.999999999999936,1.2,-11.199999999999935,LOSS,5,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,2.92,SHORT_HEAVY,65.07394766780433
LIGHTUSDT,LONG,2025-12-15 12:09:00+00:00,2025-12-15 12:18:00+00:00,1.1906,1.1786940000000001,-9.999999999999975,1.2,-11.199999999999974,LOSS,3,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,2.98,SHORT_HEAVY,69.4951664876477
LIGHTUSDT,LONG,2025-12-15 12:12:00+00:00,2025-12-15 12:18:00+00:00,1.1916,1.179684,-10.000000000000032,1.2,-11.200000000000031,LOSS,2,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,2.19,SHORT_HEAVY,63.44916344916342
LIGHTUSDT,LONG,2025-12-15 12:21:00+00:00,2025-12-15 12:54:00+00:00,1.1718,1.1600819999999998,-10.0000000000001,1.2,-11.200000000000099,LOSS,11,100.0,10,ADVANCED,90,SIDEWAYS,UPTREND,-0.39,1.79,SHORT_HEAVY,47.13024282560701
LIGHTUSDT,LONG,2025-12-15 12:24:00+00:00,2025-12-15 12:48:00+00:00,1.1829,1.171071,-10.000000000000075,1.2,-11.200000000000074,LOSS,8,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,2.59,SHORT_HEAVY,54.508611955420534
LIGHTUSDT,SHORT,2025-12-15 13:33:00+00:00,2025-12-15 13:51:00+00:00,1.1738,1.185538,-10.000000000000021,1.2,-11.20000000000002,LOSS,6,100.0,10,BASIC,60,SIDEWAYS,DOWNTREND,-0.39,-0.79,SHORT_HEAVY,54.25038639876355
LIGHTUSDT,SHORT,2025-12-15 13:39:00+00:00,2025-12-15 13:45:00+00:00,1.1652,1.176852,-9.999999999999996,1.2,-11.199999999999996,LOSS,2,100.0,10,BASIC,60,SIDEWAYS,DOWNTREND,-0.39,-2.22,SHORT_HEAVY,47.962382445141124
LIGHTUSDT,LONG,2025-12-15 13:54:00+00:00,2025-12-15 14:24:00+00:00,1.1905,1.21431,20.000000000000092,1.2,18.800000000000093,WIN,10,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,0.64,SHORT_HEAVY,61.09324758842424
LIGHTUSDT,LONG,2025-12-15 14:00:00+00:00,2025-12-15 14:24:00+00:00,1.1916,1.215432,20.000000000000064,1.2,18.800000000000065,WIN,8,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,0.86,SHORT_HEAVY,69.12181303116141
LIGHTUSDT,LONG,2025-12-15 14:03:00+00:00,2025-12-15 14:24:00+00:00,1.1911,1.214922,20.000000000000007,1.2,18.800000000000008,WIN,7,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,1.01,SHORT_HEAVY,65.2647975077882
LIGHTUSDT,LONG,2025-12-15 14:06:00+00:00,2025-12-15 14:24:00+00:00,1.1984,1.222368,19.999999999999993,1.2,18.799999999999994,WIN,6,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,1.93,SHORT_HEAVY,68.36879432624106
LIGHTUSDT,LONG,2025-12-15 14:12:00+00:00,2025-12-15 14:15:00+00:00,1.1999,1.1879009999999999,-10.000000000000078,1.2,-11.200000000000077,LOSS,1,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,1.68,SHORT_HEAVY,65.92178770949728
LIGHTUSDT,LONG,2025-12-15 14:15:00+00:00,2025-12-15 14:24:00+00:00,1.197,1.2209400000000001,20.000000000000057,1.2,18.800000000000058,WIN,3,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,2.23,SHORT_HEAVY,66.29213483146091
LIGHTUSDT,LONG,2025-12-15 14:18:00+00:00,2025-12-15 14:24:00+00:00,1.2003,1.224306,19.999999999999975,1.2,18.799999999999976,WIN,2,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,2.74,SHORT_HEAVY,68.5210312075985
LIGHTUSDT,LONG,2025-12-15 14:33:00+00:00,2025-12-15 14:57:00+00:00,1.2187,1.206513,-9.99999999999996,1.2,-11.199999999999958,LOSS,8,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,3.62,SHORT_HEAVY,69.83240223463696
LIGHTUSDT,LONG,2025-12-15 14:36:00+00:00,2025-12-15 14:57:00+00:00,1.2109,1.1987910000000002,-9.999999999999938,1.2,-11.199999999999937,LOSS,7,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,3.44,SHORT_HEAVY,61.33333333333355
LIGHTUSDT,LONG,2025-12-15 14:42:00+00:00,2025-12-15 14:54:00+00:00,1.2196,1.207404,-10.000000000000078,1.2,-11.200000000000077,LOSS,4,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,3.71,SHORT_HEAVY,67.90281329923289
LIGHTUSDT,LONG,2025-12-15 14:45:00+00:00,2025-12-15 14:57:00+00:00,1.2178,1.205622,-10.000000000000018,1.2,-11.200000000000017,LOSS,4,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,4.57,SHORT_HEAVY,66.79245283018875
LIGHTUSDT,LONG,2025-12-15 14:48:00+00:00,2025-12-15 14:57:00+00:00,1.2137,1.201563,-10.000000000000053,1.2,-11.200000000000053,LOSS,3,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,3.6,SHORT_HEAVY,60.02621231979042
LIGHTUSDT,LONG,2025-12-15 14:51:00+00:00,2025-12-15 14:57:00+00:00,1.2173,1.205127,-9.999999999999991,1.2,-11.19999999999999,LOSS,2,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,3.82,SHORT_HEAVY,59.92115637319329
LIGHTUSDT,LONG,2025-12-15 14:54:00+00:00,2025-12-15 14:57:00+00:00,1.2104,1.1982959999999998,-10.000000000000096,1.2,-11.200000000000095,LOSS,1,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,3.25,SHORT_HEAVY,56.505576208178425
LIGHTUSDT,LONG,2025-12-15 14:57:00+00:00,2025-12-15 15:09:00+00:00,1.2152,1.2395040000000002,20.000000000000085,1.2,18.800000000000086,WIN,4,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.39,3.24,SHORT_HEAVY,61.016949152542374
