symbol,type,entry_time,exit_time,entry_price,exit_price,gross_pnl,fees,net_pnl,result,bars_held,position_size,leverage,strategy,confidence,btc_trend,coin_trend,btc_change,coin_change,funding_sentiment,rsi
AVAAIUSDT,SHORT,2025-12-16 16:04:00+00:00,2025-12-16 16:08:00+00:00,0.012061,0.01218161,-10.000000000000014,1.2,-11.200000000000014,LOSS,4,100.0,10,BASIC,60,SIDEWAYS,DOWNTREND,-0.4,-1.37,NEUTRAL,53.42237061769625
AVAAIUSDT,SHORT,2025-12-16 16:15:00+00:00,2025-12-16 16:27:00+00:00,0.012005,0.0117649,20.000000000000004,1.2,18.800000000000004,WIN,12,100.0,10,BASIC,60,SIDEWAYS,DOWNTREND,-0.4,-1.48,NEUTRAL,49.291338582677135
AVAAIUSDT,SHORT,2025-12-16 17:42:00+00:00,2025-12-16 17:46:00+00:00,0.011202,0.011314020000000001,-10.000000000000078,1.2,-11.200000000000077,LOSS,4,100.0,10,BASIC,60,SIDEWAYS,DOWNTREND,-0.4,-2.6,NEUTRAL,53.387850467289745
AVAAIUSDT,SHORT,2025-12-16 18:34:00+00:00,2025-12-16 18:39:00+00:00,0.011082,0.01119282,-9.99999999999994,1.2,-11.199999999999939,LOSS,5,100.0,10,BASIC,60,SIDEWAYS,DOWNTREND,-0.4,-1.1,NEUTRAL,53.39673913043475
AVAAIUSDT,LONG,2025-12-16 21:01:00+00:00,2025-12-16 21:36:00+00:00,0.011407,0.01163514,19.999999999999993,1.2,18.799999999999994,WIN,35,100.0,10,BASIC,60,SIDEWAYS,UPTREND,-0.4,1.73,NEUTRAL,60.424028268551034
AVAAIUSDT,LONG,2025-12-16 22:01:00+00:00,2025-12-16 22:05:00+00:00,0.011767,0.01164933,-10.000000000000021,1.2,-11.20000000000002,LOSS,4,100.0,10,BASIC,60,SIDEWAYS,UPTREND,-0.4,2.39,NEUTRAL,47.30538922155678
AVAAIUSDT,LONG,2025-12-16 22:03:00+00:00,2025-12-16 22:05:00+00:00,0.011774,0.01165626,-9.999999999999988,1.2,-11.199999999999987,LOSS,2,100.0,10,BASIC,60,SIDEWAYS,UPTREND,-0.4,2.11,NEUTRAL,47.35772357723578
AVAAIUSDT,SHORT,2025-12-16 23:13:00+00:00,2025-12-16 23:17:00+00:00,0.011458,0.011572579999999999,-9.999999999999961,1.2,-11.19999999999996,LOSS,4,100.0,10,BASIC,60,SIDEWAYS,DOWNTREND,-0.4,-0.51,NEUTRAL,53.99061032863842
AVAAIUSDT,LONG,2025-12-17 01:00:00+00:00,2025-12-17 01:03:00+00:00,0.01172,0.0116028,-9.999999999999966,1.2,-11.199999999999966,LOSS,3,100.0,10,BASIC,60,SIDEWAYS,UPTREND,-0.4,1.77,NEUTRAL,53.79426644182124
AVAAIUSDT,LONG,2025-12-17 01:04:00+00:00,2025-12-17 01:14:00+00:00,0.011682,0.01191564,20.00000000000002,1.2,18.800000000000022,WIN,10,100.0,10,BASIC,60,SIDEWAYS,UPTREND,-0.4,1.08,NEUTRAL,54.84400656814451
AVAAIUSDT,LONG,2025-12-17 03:31:00+00:00,2025-12-17 03:32:00+00:00,0.011654,0.01153746,-10.000000000000004,1.2,-11.200000000000003,LOSS,1,100.0,10,BASIC,60,SIDEWAYS,UPTREND,-0.4,1.68,NEUTRAL,52.912621359223294
AVAAIUSDT,SHORT,2025-12-17 03:49:00+00:00,2025-12-17 04:20:00+00:00,0.011504,0.01127392,20.00000000000005,1.2,18.80000000000005,WIN,31,100.0,10,BASIC,60,SIDEWAYS,DOWNTREND,-0.4,-1.53,NEUTRAL,42.72727272727283
AVAAIUSDT,LONG,2025-12-17 04:56:00+00:00,2025-12-17 05:01:00+00:00,0.011362,0.01158924,20.000000000000007,1.2,18.800000000000008,WIN,5,100.0,10,BASIC,60,SIDEWAYS,UPTREND,-0.4,2.26,NEUTRAL,50.25380710659901
AVAAIUSDT,LONG,2025-12-17 05:04:00+00:00,2025-12-17 05:22:00+00:00,0.011388,0.01127412,-10.00000000000002,1.2,-11.200000000000019,LOSS,18,100.0,10,BASIC,60,SIDEWAYS,UPTREND,-0.4,1.49,NEUTRAL,47.75641025641024
AVAAIUSDT,LONG,2025-12-17 05:10:00+00:00,2025-12-17 05:13:00+00:00,0.011455,0.01134045,-9.999999999999975,1.2,-11.199999999999974,LOSS,3,100.0,10,BASIC,60,SIDEWAYS,UPTREND,-0.4,0.77,NEUTRAL,58.0034423407917
SWARMSUSDT,SHORT,2025-12-16 19:21:00+00:00,2025-12-16 20:04:00+00:00,0.01962,0.0198162,-10.000000000000028,1.2,-11.200000000000028,LOSS,43,100.0,10,BASIC,60,SIDEWAYS,DOWNTREND,-0.39,-2.29,NEUTRAL,48.12030075187964
SWARMSUSDT,SHORT,2025-12-16 19:31:00+00:00,2025-12-16 19:34:00+00:00,0.01946,0.0196546,-9.99999999999998,1.2,-11.19999999999998,LOSS,3,100.0,10,BASIC,60,SIDEWAYS,DOWNTREND,-0.39,-1.02,NEUTRAL,51.578947368421154
SWARMSUSDT,SHORT,2025-12-16 19:36:00+00:00,2025-12-16 20:04:00+00:00,0.01951,0.0197051,-10.000000000000007,1.2,-11.200000000000006,LOSS,28,100.0,10,BASIC,60,SIDEWAYS,DOWNTREND,-0.39,-0.81,NEUTRAL,45.12195121951225
SWARMSUSDT,LONG,2025-12-16 19:41:00+00:00,2025-12-16 19:44:00+00:00,0.01963,0.0194337,-9.999999999999996,1.2,-11.199999999999996,LOSS,3,100.0,10,BASIC,60,SIDEWAYS,UPTREND,-0.39,1.6,NEUTRAL,61.19402985074621
SWARMSUSDT,SHORT,2025-12-16 20:34:00+00:00,2025-12-16 20:37:00+00:00,0.01948,0.0196748,-9.99999999999992,1.2,-11.19999999999992,LOSS,3,100.0,10,BASIC,60,SIDEWAYS,DOWNTREND,-0.39,-2.31,NEUTRAL,47.86324786324796
SWARMSUSDT,LONG,2025-12-16 20:55:00+00:00,2025-12-16 21:03:00+00:00,0.01983,0.0202266,20.00000000000002,1.2,18.800000000000022,WIN,8,100.0,10,BASIC,60,SIDEWAYS,UPTREND,-0.39,2.06,NEUTRAL,62.903225806451445
SWARMSUSDT,LONG,2025-12-16 20:57:00+00:00,2025-12-16 21:03:00+00:00,0.01985,0.020247,20.000000000000075,1.2,18.800000000000075,WIN,6,100.0,10,BASIC,60,SIDEWAYS,UPTREND,-0.39,2.43,NEUTRAL,56.666666666666615
SWARMSUSDT,LONG,2025-12-16 20:58:00+00:00,2025-12-16 21:03:00+00:00,0.01991,0.020308200000000002,20.000000000000068,1.2,18.800000000000068,WIN,5,100.0,10,BASIC,60,SIDEWAYS,UPTREND,-0.39,3.21,NEUTRAL,61.538461538461455
SWARMSUSDT,SHORT,2025-12-16 21:42:00+00:00,2025-12-16 21:55:00+00:00,0.02023,0.0198254,20.00000000000007,1.2,18.80000000000007,WIN,13,100.0,10,BASIC,60,SIDEWAYS,DOWNTREND,-0.39,-0.78,NEUTRAL,44.92753623188426
SWARMSUSDT,SHORT,2025-12-16 22:36:00+00:00,2025-12-16 22:39:00+00:00,0.01982,0.0200182,-9.999999999999954,1.2,-11.199999999999953,LOSS,3,100.0,10,BASIC,60,SIDEWAYS,DOWNTREND,-0.39,-0.95,NEUTRAL,38.46153846153853
SWARMSUSDT,SHORT,2025-12-17 03:34:00+00:00,2025-12-17 03:41:00+00:00,0.0185,0.01813,19.999999999999936,1.2,18.799999999999937,WIN,7,100.0,10,BASIC,60,SIDEWAYS,DOWNTREND,-0.39,-2.79,NEUTRAL,32.81250000000021
LIGHTUSDT,LONG,2025-12-16 13:53:00+00:00,2025-12-16 13:59:00+00:00,1.1462,1.169124,19.99999999999995,1.2,18.79999999999995,WIN,6,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.36,0.67,SHORT_HEAVY,62.72401433691773
LIGHTUSDT,LONG,2025-12-16 13:54:00+00:00,2025-12-16 13:59:00+00:00,1.146,1.16892,20.000000000000043,1.2,18.800000000000043,WIN,5,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.36,0.96,SHORT_HEAVY,56.701030927834964
LIGHTUSDT,LONG,2025-12-16 13:55:00+00:00,2025-12-16 13:59:00+00:00,1.1488,1.1717760000000002,20.000000000000092,1.2,18.800000000000093,WIN,4,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.36,1.6,SHORT_HEAVY,60.721442885771644
LIGHTUSDT,LONG,2025-12-16 13:56:00+00:00,2025-12-16 14:00:00+00:00,1.1504,1.173408,19.999999999999925,1.2,18.799999999999926,WIN,4,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.36,2.33,SHORT_HEAVY,58.99581589958171
LIGHTUSDT,LONG,2025-12-16 13:57:00+00:00,2025-12-16 14:02:00+00:00,1.1541,1.177182,20.00000000000004,1.2,18.80000000000004,WIN,5,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.36,3.3,SHORT_HEAVY,61.26482213438722
LIGHTUSDT,LONG,2025-12-16 14:00:00+00:00,2025-12-16 14:01:00+00:00,1.1594,1.1478059999999999,-10.00000000000009,1.2,-11.20000000000009,LOSS,1,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.36,2.72,SHORT_HEAVY,69.84402079722693
LIGHTUSDT,LONG,2025-12-16 14:01:00+00:00,2025-12-16 14:05:00+00:00,1.1663,1.1896259999999999,19.999999999999968,1.2,18.79999999999997,WIN,4,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.36,4.02,SHORT_HEAVY,69.2035398230087
LIGHTUSDT,LONG,2025-12-16 14:02:00+00:00,2025-12-16 14:06:00+00:00,1.1749,1.198398,20.000000000000014,1.2,18.800000000000015,WIN,4,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.36,4.69,SHORT_HEAVY,69.42003514938483
LIGHTUSDT,LONG,2025-12-16 14:03:00+00:00,2025-12-16 14:06:00+00:00,1.1776,1.201152,20.000000000000014,1.2,18.800000000000015,WIN,3,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.36,5.29,SHORT_HEAVY,69.20353982300882
LIGHTUSDT,LONG,2025-12-16 14:14:00+00:00,2025-12-16 14:15:00+00:00,1.1897,1.177803,-10.000000000000037,1.2,-11.200000000000037,LOSS,1,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.36,4.51,SHORT_HEAVY,69.15297092288243
LIGHTUSDT,LONG,2025-12-16 14:15:00+00:00,2025-12-16 14:25:00+00:00,1.1858,1.209516,20.000000000000057,1.2,18.800000000000058,WIN,10,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.36,4.34,SHORT_HEAVY,62.81208935611043
LIGHTUSDT,LONG,2025-12-16 14:16:00+00:00,2025-12-16 14:26:00+00:00,1.1958,1.219716,20.00000000000004,1.2,18.80000000000004,WIN,10,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.36,4.47,SHORT_HEAVY,63.4838709677419
LIGHTUSDT,LONG,2025-12-16 14:17:00+00:00,2025-12-16 14:31:00+00:00,1.2006,1.2246119999999998,19.999999999999936,1.2,18.799999999999937,WIN,14,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.36,4.15,SHORT_HEAVY,64.44723618090448
LIGHTUSDT,LONG,2025-12-16 14:18:00+00:00,2025-12-16 14:31:00+00:00,1.2015,1.22553,19.999999999999996,1.2,18.799999999999997,WIN,13,100.0,10,ADVANCED,80,SIDEWAYS,UPTREND,-0.36,3.94,SHORT_HEAVY,66.41221374045804
