symbol,type,entry_time,exit_time,entry_price,exit_price,gross_pnl,fees,net_pnl,result,bars_held,position_size,leverage
AVAAIUSDT,SHORT,2025-12-17 03:49:00+00:00,2025-12-17 04:20:00+00:00,0.011504,0.01127392,20.00000000000005,1.2,18.80000000000005,WIN,31,100.0,10
AVAAIUSDT,SHORT,2025-12-17 04:15:00+00:00,2025-12-17 04:22:00+00:00,0.011374,0.01114652,20.000000000000036,1.2,18.800000000000036,WIN,7,100.0,10
AVAAIUSDT,SHORT,2025-12-17 04:18:00+00:00,2025-12-17 04:20:00+00:00,0.011431,0.01120238,20.00000000000005,1.2,18.80000000000005,WIN,2,100.0,10
AVAAIUSDT,SHORT,2025-12-17 04:19:00+00:00,2025-12-17 04:20:00+00:00,0.01143,0.011201399999999999,20.000000000000057,1.2,18.800000000000058,WIN,1,100.0,10
AVAAIUSDT,LONG,2025-12-17 04:56:00+00:00,2025-12-17 05:01:00+00:00,0.011362,0.01158924,20.000000000000007,1.2,18.800000000000008,WIN,5,100.0,10
AVAAIUSDT,LONG,2025-12-17 05:04:00+00:00,2025-12-17 05:22:00+00:00,0.011388,0.01127412,-10.00000000000002,1.2,-11.200000000000019,LOSS,18,100.0,10
AVAAIUSDT,LONG,2025-12-17 05:10:00+00:00,2025-12-17 05:13:00+00:00,0.011455,0.01134045,-9.999999999999975,1.2,-11.199999999999974,LOSS,3,100.0,10
SWARMSUSDT,SHORT,2025-12-16 13:46:00+00:00,2025-12-16 13:49:00+00:00,0.01858,0.0187658,-9.999999999999993,1.2,-11.199999999999992,LOSS,3,100.0,10
SWARMSUSDT,SHORT,2025-12-16 13:47:00+00:00,2025-12-16 13:49:00+00:00,0.01858,0.0187658,-9.999999999999993,1.2,-11.199999999999992,LOSS,2,100.0,10
SWARMSUSDT,SHORT,2025-12-16 14:13:00+00:00,2025-12-16 14:15:00+00:00,0.01826,0.0184426,-10.000000000000085,1.2,-11.200000000000085,LOSS,2,100.0,10
SWARMSUSDT,SHORT,2025-12-16 14:15:00+00:00,2025-12-16 14:16:00+00:00,0.01842,0.018604199999999998,-9.999999999999943,1.2,-11.199999999999942,LOSS,1,100.0,10
SWARMSUSDT,SHORT,2025-12-16 19:19:00+00:00,2025-12-16 20:04:00+00:00,0.01961,0.0198061,-10.00000000000006,1.2,-11.20000000000006,LOSS,45,100.0,10
SWARMSUSDT,SHORT,2025-12-16 19:20:00+00:00,2025-12-16 19:29:00+00:00,0.0197,0.019305999999999997,20.000000000000103,1.2,18.800000000000104,WIN,9,100.0,10
SWARMSUSDT,SHORT,2025-12-16 19:21:00+00:00,2025-12-16 20:04:00+00:00,0.01962,0.0198162,-10.000000000000028,1.2,-11.200000000000028,LOSS,43,100.0,10
SWARMSUSDT,SHORT,2025-12-16 19:31:00+00:00,2025-12-16 19:34:00+00:00,0.01946,0.0196546,-9.99999999999998,1.2,-11.19999999999998,LOSS,3,100.0,10
SWARMSUSDT,SHORT,2025-12-16 19:36:00+00:00,2025-12-16 20:04:00+00:00,0.01951,0.0197051,-10.000000000000007,1.2,-11.200000000000006,LOSS,28,100.0,10
SWARMSUSDT,LONG,2025-12-16 19:41:00+00:00,2025-12-16 19:44:00+00:00,0.01963,0.0194337,-9.999999999999996,1.2,-11.199999999999996,LOSS,3,100.0,10
SWARMSUSDT,SHORT,2025-12-16 20:16:00+00:00,2025-12-16 20:22:00+00:00,0.01949,0.0196849,-10.00000000000007,1.2,-11.200000000000069,LOSS,6,100.0,10
SWARMSUSDT,SHORT,2025-12-16 20:32:00+00:00,2025-12-16 20:37:00+00:00,0.01947,0.0196647,-9.99999999999995,1.2,-11.19999999999995,LOSS,5,100.0,10
SWARMSUSDT,SHORT,2025-12-16 20:33:00+00:00,2025-12-16 20:41:00+00:00,0.01956,0.0197556,-10.000000000000032,1.2,-11.200000000000031,LOSS,8,100.0,10
SWARMSUSDT,SHORT,2025-12-16 20:34:00+00:00,2025-12-16 20:37:00+00:00,0.01948,0.0196748,-9.99999999999992,1.2,-11.19999999999992,LOSS,3,100.0,10
SWARMSUSDT,LONG,2025-12-16 20:55:00+00:00,2025-12-16 21:03:00+00:00,0.01983,0.0202266,20.00000000000002,1.2,18.800000000000022,WIN,8,100.0,10
SWARMSUSDT,LONG,2025-12-16 20:57:00+00:00,2025-12-16 21:03:00+00:00,0.01985,0.020247,20.000000000000075,1.2,18.800000000000075,WIN,6,100.0,10
SWARMSUSDT,LONG,2025-12-16 20:58:00+00:00,2025-12-16 21:03:00+00:00,0.01991,0.020308200000000002,20.000000000000068,1.2,18.800000000000068,WIN,5,100.0,10
SWARMSUSDT,SHORT,2025-12-16 21:42:00+00:00,2025-12-16 21:55:00+00:00,0.02023,0.0198254,20.00000000000007,1.2,18.80000000000007,WIN,13,100.0,10
SWARMSUSDT,SHORT,2025-12-16 22:10:00+00:00,2025-12-16 22:21:00+00:00,0.01981,0.0200081,-9.999999999999984,1.2,-11.199999999999983,LOSS,11,100.0,10
SWARMSUSDT,SHORT,2025-12-16 22:36:00+00:00,2025-12-16 22:39:00+00:00,0.01982,0.0200182,-9.999999999999954,1.2,-11.199999999999953,LOSS,3,100.0,10
SWARMSUSDT,SHORT,2025-12-16 23:08:00+00:00,2025-12-16 23:10:00+00:00,0.01988,0.020078799999999997,-9.99999999999995,1.2,-11.19999999999995,LOSS,2,100.0,10
SWARMSUSDT,SHORT,2025-12-16 23:09:00+00:00,2025-12-16 23:14:00+00:00,0.01992,0.0201192,-10.000000000000004,1.2,-11.200000000000003,LOSS,5,100.0,10
SWARMSUSDT,SHORT,2025-12-17 00:19:00+00:00,2025-12-17 00:27:00+00:00,0.02028,0.0204828,-9.999999999999975,1.2,-11.199999999999974,LOSS,8,100.0,10
SWARMSUSDT,SHORT,2025-12-17 00:20:00+00:00,2025-12-17 00:27:00+00:00,0.02025,0.020452500000000002,-10.000000000000062,1.2,-11.200000000000061,LOSS,7,100.0,10
SWARMSUSDT,SHORT,2025-12-17 01:05:00+00:00,2025-12-17 01:08:00+00:00,0.02066,0.020866600000000003,-10.00000000000006,1.2,-11.20000000000006,LOSS,3,100.0,10
SWARMSUSDT,SHORT,2025-12-17 01:06:00+00:00,2025-12-17 01:07:00+00:00,0.02063,0.0208363,-9.999999999999979,1.2,-11.199999999999978,LOSS,1,100.0,10
SWARMSUSDT,SHORT,2025-12-17 01:36:00+00:00,2025-12-17 01:41:00+00:00,0.02033,0.0205333,-10.0,1.2,-11.2,LOSS,5,100.0,10
SWARMSUSDT,SHORT,2025-12-17 01:38:00+00:00,2025-12-17 01:41:00+00:00,0.02029,0.020492899999999998,-9.999999999999947,1.2,-11.199999999999946,LOSS,3,100.0,10
SWARMSUSDT,SHORT,2025-12-17 01:41:00+00:00,2025-12-17 01:45:00+00:00,0.02052,0.0207252,-9.99999999999996,1.2,-11.199999999999958,LOSS,4,100.0,10
SWARMSUSDT,SHORT,2025-12-17 03:27:00+00:00,2025-12-17 03:41:00+00:00,0.01853,0.018159400000000003,19.999999999999925,1.2,18.799999999999926,WIN,14,100.0,10
SWARMSUSDT,SHORT,2025-12-17 03:28:00+00:00,2025-12-17 03:41:00+00:00,0.0185,0.01813,19.999999999999936,1.2,18.799999999999937,WIN,13,100.0,10
SWARMSUSDT,SHORT,2025-12-17 03:34:00+00:00,2025-12-17 03:41:00+00:00,0.0185,0.01813,19.999999999999936,1.2,18.799999999999937,WIN,7,100.0,10
SWARMSUSDT,SHORT,2025-12-17 04:42:00+00:00,2025-12-17 04:47:00+00:00,0.01721,0.0173821,-10.000000000000085,1.2,-11.200000000000085,LOSS,5,100.0,10
SWARMSUSDT,SHORT,2025-12-17 05:15:00+00:00,2025-12-17 05:19:00+00:00,0.01688,0.0170488,-10.000000000000014,1.2,-11.200000000000014,LOSS,4,100.0,10
SWARMSUSDT,SHORT,2025-12-17 05:21:00+00:00,2025-12-17 05:32:00+00:00,0.0171,0.017271,-10.00000000000006,1.2,-11.20000000000006,LOSS,11,100.0,10
EDENUSDT,LONG,2025-12-16 13:44:00+00:00,2025-12-16 14:01:00+00:00,0.06701,0.0663399,-10.0000000000001,1.2,-11.200000000000099,LOSS,17,100.0,10
EDENUSDT,LONG,2025-12-16 13:51:00+00:00,2025-12-16 14:01:00+00:00,0.06721,0.06653790000000001,-9.999999999999924,1.2,-11.199999999999923,LOSS,10,100.0,10
EDENUSDT,LONG,2025-12-16 13:53:00+00:00,2025-12-16 13:55:00+00:00,0.06732,0.0666468,-9.99999999999998,1.2,-11.19999999999998,LOSS,2,100.0,10
EDENUSDT,LONG,2025-12-16 13:56:00+00:00,2025-12-16 14:01:00+00:00,0.06702,0.0663498,-9.999999999999938,1.2,-11.199999999999937,LOSS,5,100.0,10
